name,rating,reviews,salary,interviews,jobs
TCS,3.8,67.3k Reviews,737.7k Salaries,5.7k Interviews,326 Jobs
Accenture,4.0,43k Reviews,514k Salaries,4k Interviews,4.9k Jobs
Cognizant,3.9,38.7k Reviews,496.8k Salaries,3.3k Interviews,507 Jobs
Wipro,3.8,35.8k Reviews,371.1k Salaries,3.3k Interviews,356 Jobs
ICICI Bank,4.0,31.1k Reviews,135.7k Salaries,1.7k Interviews,219 Jobs
HDFC Bank,3.9,30.9k Reviews,122.7k Salaries,1.4k Interviews,462 Jobs
Infosys,3.9,29.4k Reviews,413.2k Salaries,4.5k Interviews,840 Jobs
Capgemini,3.8,27.3k Reviews,337.1k Salaries,2.3k Interviews,515 Jobs
Tech Mahindra,3.7,25.5k Reviews,236.4k Salaries,2.2k Interviews,1.1k Jobs
HCLTech,3.7,25k Reviews,253.1k Salaries,2.3k Interviews,675 Jobs
Genpact,3.9,24.4k Reviews,176.4k Salaries,1.8k Interviews,685 Jobs
Axis Bank,3.8,20.5k Reviews,95.4k Salaries,1k Interviews,316 Jobs
Concentrix Corporation,3.9,20.2k Reviews,100.2k Salaries,1k Interviews,129 Jobs
Amazon,4.2,19.4k Reviews,116.9k Salaries,3.2k Interviews,691 Jobs
Reliance Jio,3.9,18.7k Reviews,64.8k Salaries,1.1k Interviews,186 Jobs
IBM,4.1,18.7k Reviews,197k Salaries,1.4k Interviews,1.5k Jobs
Larsen & Toubro Limited,4.0,17.4k Reviews,81.6k Salaries,979 Interviews,212 Jobs
Reliance Retail,3.9,16.9k Reviews,54.1k Salaries,1.1k Interviews,270 Jobs
HDB Financial Services,4.0,16.4k Reviews,49.4k Salaries,532 Interviews,116 Jobs
Teleperformance,3.6,16k Reviews,74.4k Salaries,1.1k Interviews,279 Jobs
Vodafone Idea,4.2,14.7k Reviews,61.7k Salaries,407 Interviews,364 Jobs
BYJU'S,3.1,13.6k Reviews,50.7k Salaries,1.8k Interviews,881 Jobs
Deloitte,4.0,13.5k Reviews,138.8k Salaries,1.5k Interviews,300 Jobs
Kotak Mahindra Bank,3.8,13.1k Reviews,74.4k Salaries,677 Interviews,256 Jobs
Reliance Industries,4.0,12.3k Reviews,63.4k Salaries,874 Interviews,37 Jobs
Bharti Airtel,4.0,11.4k Reviews,44.2k Salaries,540 Interviews,293 Jobs
Tata Motors,4.2,10.5k Reviews,42k Salaries,690 Interviews,18 Jobs
Flipkart,4.1,9.1k Reviews,44.3k Salaries,957 Interviews,388 Jobs
iEnergizer,4.5,9.1k Reviews,17.9k Salaries,281 Interviews,106 Jobs
WNS,3.5,9k Reviews,52.2k Salaries,688 Interviews,234 Jobs
IndusInd Bank,3.7,8.5k Reviews,43.5k Salaries,383 Interviews,250 Jobs
Mahindra & Mahindra,4.1,8.4k Reviews,37.5k Salaries,444 Interviews,94 Jobs
Ernst & Young,3.6,8.2k Reviews,106k Salaries,731 Interviews,1.8k Jobs
Infosys BPM,3.9,7.7k Reviews,53.8k Salaries,635 Interviews,38 Jobs
DXC Technology,3.8,7.7k Reviews,75.7k Salaries,533 Interviews,136 Jobs
IDFC FIRST Bank,4.0,7.3k Reviews,38k Salaries,390 Interviews,95 Jobs
Conneqt Business Solutions,3.7,7.1k Reviews,25.2k Salaries,291 Interviews,32 Jobs
HDFC Life,4.0,7k Reviews,23.8k Salaries,333 Interviews,94 Jobs
LTIMindtree,3.7,6.9k Reviews,78.6k Salaries,855 Interviews,35 Jobs
